:Rank 1
:Carnegie Mellon University
Umut Acar
Anil Ada
Victor Adamchik
Yuvraj Agarwal
Jonathan Aldrich
Vincent Aleven
Tevfik Aloglu
Mary Amasia
Omead Amidi
Mads Andersen
David Andersen
Ann Anderson
Eric Anderson
Dimitrios Apostolopoulos
Vasilii Artemev
Simone Ashby
Christopher Atkeson
James Auger
Ruhan Azad
Amos Azaria
Sang Won Bae
James Bagnell
Zhen Bai
Christopher Baker
James Baker
Maria Balcan
Laura Ballay
Miguel Ballesteros
Tadas Baltrusaitis
Stephanie Balzer
Ziv Bar-Joseph
Matthew Bass
Ljudevit Bauer
Darrin Bentivegna
Taylor Berg-Kirkpatrick
Hans Berliner
Bermudez Badia
Karen Berntsen
Jeffrey Bigham
Lidong Bing
William Bishop
Alan Black
Guy Blelloch
Joshua Bloch
Lenore Blum
Manuel Blum
Avrim Blum
Christopher Bogart
Houda Bouamor
Travis Breaux
Bambi Brewer
Stephen Brookes
Ralf Brown
Brett Browning
Clifford Brubaker
David Brumley
Emma Brunskill
Peter Brusilovsky
Randal Bryant
James Callan
Javier Camara Moreno
Monica da Silva Cameirao
Pedro Campos
Ioannis Caragiannis
Jaime Carbonell
Kathleen Carley
Jacob Carrasquel
Justine Cassell
Iliano Cervesato
Chu Sern Joel Chan
Kai-Min Chang
Xiaojun Chang
Steven Chase
Ming Chen
Qiang(Alex) Chen
De Cheng
Chinna Thambi
Yoram Chisik
Sunyoung Cho
Howard Choset
Panos Chrysanthis
Jaemin Chun
Abdullah Cicek
Edmund Clarke
William Cohen
Marisa Cohn
Jeffrey Cohn
Steve Collins
Phillip Compeau
Rory Cooper
Albert Corbett
Stelian Coros
Thomas Cortina
Keenan Crane
Lorrie Cranor
Karl Crary
Chris Csikszentmihalyi
Laura Dabbish
Roger Dannenberg
Gautam Dasarathy
Anupam Datta
Aynur Dayanik
David De Aveiro
Fernando De La Torre Frade
Joao De Sousa
Gokul Krishnaa Devaraju
Anind Dey
M Dias
Anthony Digioia
John Dolan
Afsaneh Doryab
Artur Dubrawski
Christopher Dyer
Michael Eagle
David Eckhardt
Alexei Efros
Jeffrey Eppinger
Michael Erdmann
Maxine Eskenazi
Poovammal Eswaran
Scott Fahlman
Christos Faloutsos
David Farber
Kayvon Fatahalian
Gary Fedder
Oliver Ferschke
Stephen Fienberg
Jodi Forlizzi
Robert Frederking
Edward Fredkin
Matthew Fredrikson
Alan Frieze
Carol Frieze
Soniya Gadgil
John Galeotti
Madhavi Ganapathiraju
Gregory Ganger
Praveen Garimella
David Garlan
Charles Garrod
Wolfgang Gatterbauer
Orhan Gencaga
Michael George
Anatole Gershman
Hartmut Geyer
